"id","state","year","region","state_calamity","calamity","dcb","rcl","juros","amortizacao","primario","dbp","rec_cor","desp_cor","investimentos","desp_total","rec_previdenciarias","inativos","rec_tributaria","obrig_fin","disp_caixa_bruta","stn_end","stn_sdrcl","stn_rpsd","stn_dprcl","stn_cgpp","stn_pidt","stn_pcrdp","stn_rtdc","capag_idc","capag_pc","capag_il"
"ce2014","ce",2014,"nordeste",FALSE,FALSE,8501127953,14418477503.79,297663290.94,595815980.54,455335069.85,7217787703.42,20124026041.49,17277833219.52,3475765085.85,21783515154.38,1361596574.52,1559411926.19,11113045323.53,696126236.22,2549452952,0.589599557287891,0.0619676572124305,0.509620183013045,0.500592916382659,0.164730888752558,0.159559421939812,0.873147467742338,0.621755814894962,0.589599557287891,0.858567425022112,0.273049257753081
"ce2015","ce",2015,"nordeste",FALSE,FALSE,11113041943,15176440113,414556094.18,689352118.08,-992945340.14,7858795449.44,21109686262.67,18287950252.93,2411486940.1,21508134927.54,1395437047.54,1755843763.1,11730312190.1,909540461.49,2377935262.39,0.732256172083509,0.0727382840798352,-0.899481794874205,0.517828646963673,0.154294820945716,0.112119760649828,0.794738732947577,0.618123269618099,0.732256172083509,0.866329798812316,0.382491683384116
"ce2016","ce",2016,"nordeste",FALSE,FALSE,10518535190.36,17831937421.85,446076327.02,846777051.9,890046570.67,8331330086.34,24311282064.89,20016052843.35,2172565859.15,23266915758.59,1573816246.83,1916783042,13311686074.34,855999894.48,3351505307.67,0.589870575559071,0.0725021262880739,0.688435815833587,0.467213959383425,0.214589222718155,0.0933757564471304,0.821071666612752,0.638057547378593,0.589870575559071,0.823323623572156,0.255407590291152
"df2008","df",2008,"centro-oeste",FALSE,FALSE,3230132728.04,9626476275.59,117511652.29,96583292.62,1003797077.34,5013382662.76,11142567693.68,8814739599.72,1050977341.38,10088787667.94,825541907.76,796096762.01,7099620771.18,115435030.84,1682396852.22,0.335546739592627,0.0222402194511073,4.68856038502904,0.520791047444069,0.264083591764179,0.10417280806888,1.03698689299484,0.796696613617569,0.335546739592627,0.791086923772486,0.068613437244416
"df2009","df",2009,"centro-oeste",FALSE,FALSE,3371574770.69,10254998540.21,129417334.2,124561289.85,-415012273.909997,5613864208.84,11912482064.17,10076173427.82,1382848415.68,11704310845.36,880575073.72,1000452171.66,7392530032.69,298854009.23,1752056298.48,0.328773793333076,0.0247663247395059,-1.63404410690994,0.547427109504497,0.182242658833165,0.118148640612037,0.880177082587473,0.724705644965401,0.328773793333076,0.845850039776917,0.170573291217452
"df2010","df",2010,"centro-oeste",FALSE,FALSE,4043685744.54,11485148499.11,138980165.6,130237704.71,35619766.14,6445078860.12,13228624387.65,10981410590.41,1041462545.27,12272738583.27,1019334317.93,1169381082.62,8352921764.87,668375748.23,1928470516.04,0.352079535136472,0.023440521498774,0.132308327448636,0.561166349796821,0.204637990605913,0.0848598328892709,0.87168702579503,0.751726615441782,0.352079535136472,0.830124907066077,0.346583337764722
"df2011","df",2011,"centro-oeste",FALSE,FALSE,4234211614.68,12859741832.57,146862631.5,143888074.83,11793291.9,7617608511.85,14681589667.55,12496113915.81,974860654.47,13808066434.3,1121880667.47,1357943354.61,9366541153.94,849159164.55,2242497583.27,0.329261012375534,0.0226093735096309,0.0405615245062026,0.592360920695687,0.174892431876357,0.0706008085280059,0.826161609511468,0.741023708768083,0.329261012375534,0.851141749549747,0.378666702200749
"df2012","df",2012,"centro-oeste",FALSE,FALSE,4430824187.59,14312436247,146471414.39,162269085.09,96396729.7,8096107209.29,16227310875.77,13790555082.73,1561942237.05,15817455963.77,1216998032.64,1499696082.56,10287231703.98,1143472650.85,2357824146.63,0.309578614788152,0.0215714846970735,0.312225736054575,0.56566939894576,0.176697440996524,0.0987480060401395,0.811496440373818,0.737286701261949,0.309578614788152,0.849836130478127,0.484969437811699
"df2013","df",2013,"centro-oeste",FALSE,FALSE,4613207272.59,15811905452.74,160575546.07,165660008.72,-1189482200.06,9003612032.17,17849330837.06,15510823289.39,2180610380.13,18133089572.58,1296969644.85,1383036939.7,11443797300.6,1641521990.97,1650448305.49,0.291755303393279,0.0206322733060276,-3.64608388814542,0.569419799472036,0.150766178173768,0.12025586546638,0.937769344853024,0.729997735013675,0.291755303393279,0.868986262341296,0.99459158188093
"df2014","df",2014,"centro-oeste",FALSE,FALSE,5075662907.07,17504269623.87,183052105.68,187545737.58,-514150533.049999,10172148503.44,19671103064.83,16897595539.45,1642940866.65,19008772982.66,1444225348.18,1482657149.04,12669362672.64,933023893.39,917773286.73,0.289967134655449,0.0211718541374973,-1.38735435837193,0.5811238470395,0.164136223932265,0.0864306637860691,0.974079104609664,0.741542751517849,0.289967134655449,0.859005998990531,1.01661696508332
